Chapter_1:  argument 	Value passed to a function.
Chapter_17:  regex 	Class that manages a regular expression.
Chapter_17:  regex_error 	Exception type thrown to indicate a syntactic error in a regular expression.
Chapter_17:  regex_match 	Function that determines whether the entire input sequence matches the given regex object.
Chapter_17:  regex_replace 	Function that uses a regex object to replace matching subexpressions in an input sequence using a given format.
Chapter_17:  regex_search 	Function that uses a regex object to find a matching subsequence of a given input sequence.
Chapter_17:  regular expression 	A way of describing a sequence of characters.
Chapter_17:  seed 	Value supplied to a random-number engine that causes it to move to a new point in the sequence of number that it generates.
Chapter_17:  smatch 	Container of ssub_match objects that provides information about the match to a regex on string input sequences. The first element in the container describes the overall match results. The subsequent elements describe the results for the subexpressions.
Chapter_17:  sregex_iterator 	Iterator that iterates over a string using a given regex object to find matches in the given string. The constructor positions the iterator on the first match by calling regex_search. Incrementing the iterator calls regex_search starting just after the current match in the given string. Dereferencing the iterator returns an smatch object describing the current match.
Chapter_17:  ssub_match 	Type that holds results of a regular expression match to a string. Can represent the entire match or a subexpression.
Chapter_17:  subexpression 	Parenthesized component of a regular expression pattern.
Chapter_17:  tuple 	Template that generates types that hold unnamed members of specified types. There is no fixed limit on the number of members a tuple can be defined to have.
Chapter_18:  unformatted 	IO Operations that treat the stream as an undifferentiated byte stream. Unformatted operations place more of the burden for managing the IO on the user. catch-all A catch clause in which the exception declaration is (...). A catchall clause catches an exception of any type. It is typically used to catch an exception that is detected locally in order to do local cleanup. The exception is then rethrown to another part of the program to deal with the underlying cause of the problem.
Chapter_18:  catch clause 	Part of the program that handles an exception. A catch clause consists of the keyword catch followed by an exception declaration and a block of statements. The code inside a catch does whatever is necessary to handle an exception of the type defined in its exception declaration.
Chapter_18:  constructor order 	Under nonvirtual inheritance, base classes are constructed in the order in which they are named in the class derivation list. Under virtual inheritance, the virtual base class(es) are constructed before any other bases. They are constructed in the order in which they appear in the derivation list of the derived type. Only the most derived type may initialize a virtual base; constructor initializers for that base that appear in the intermediate base classes are ignored.
Chapter_18:  exception declaration catch clause declaration that specifies the type of exception that the catch can handle. 	The declaration acts like a parameter list, whose single parameter is initialized by the exception object. If the exception specifier is a nonreference type, then the exception object is copied to the catch.
Chapter_18:  exception handling 	Language-level support for managing run-time anomalies. One independently developed section of code can detect and “raise” an exception that another independently developed part of the program can “handle.” The error-detecting part of the program throws an exception; the error-handling part handles the exception in a catch clause of a try block.
Chapter_18:  exception object 	Object used to communicate between the throw and catch sides of an exception. The object is created at the point of the throw and is a copy of the thrown expression. The exception object exists until the last handler for the exception completes. The type of the object is the static type of the thrown expression.
Chapter_18:  file static 	Name local to a file that is declared with the static keyword. In C and pre-Standard versions of C++, file statics were used to declare objects that could be used in a single file only. File statics are deprecated in C++, having been superseded by the use of unnamed namespaces.
Chapter_18:  function try block 	Used to catch exceptions from a constructor initializer. The keyword try appears before the colon that starts the constructor initializer list (or before the open curly of the constructor body if the initizlier list is empty) and closes with one or more catch clauses that appear after the close curly of the constructor body.
Chapter_18:  global namespace 	The (implicit) namespace in each program that holds all global definitions.
Chapter_18:  handler 	Synonym for a catch clause.
Chapter_18:  inline namespace 	Members of a namespace designated as inline can be used as if they were members of an enclosing namespace.
Chapter_18:  multiple inheritance 	Class with more than one direct base class. The derived class inherits the members of all its base classes. A separate access specifier may be provided for each base class.
Chapter_18:  namespace 	Mechanism for gathering all the names defined by a library or other collection of programs into a single scope. Unlike other scopes in C++, a namespace scope may be defined in several parts. The namepsace may be opened and closed and reopened again in disparate parts of the program.
Chapter_18:  namespace alias 	Mechanism for defining a synonym for a given namespace: namespace N1 = N; defines N1 as another name for the namespace named N. A namespace can have multiple aliases; the namespace name or any of its aliases may be used interchangeably.
Chapter_18:  namespace pollution 	Occurs when all the names of classes and functions are placed in the global namespace. Large programs that use code written by multiple independent parties often encounter collisions among names if these names are global.
Chapter_18:  noexcept operator 	Operator that returns a bool indicating whether a given expression might throw an exception. The expression is unevaluated. The result is a constant expression. Its value is true if the expression does not contain a throw and calls only functions designated as nonthrowing; otherwise the result is false.
Chapter_18:  noexcept specification 	Keyword used to indicate whether a function throws. When noexcept follows a function’s parameter list, it may be optionally followed by a parenthesized constant expression that must be convertible to bool. If the expression is omitted, or if it is true, the function throws no exceptions. An expression that is false or a function that has no exception specification may throw any exception.
Chapter_18:  nonthrowing specification 	An exception specification that promises that a function won’t throw. If a nonthrowing functions does throw, terminate is called. Nonthrowing specifiers are noexcept without an argument or with an argument that evaluates as true and throw().
Chapter_18:  raise 	Often used as a synonym for throw. C++ programmers speak of “throwing” or “raising” an exception interchangably.
Chapter_18:  rethrow 	A throw that does not specify an expression. A rethrow is valid only from inside a catch clause, or in a function called directly or indirectly from a catch. Its effect is to rethrow the exception object that it received.
Chapter_18:  stack unwinding 	The process whereby the functions are exited in the search for a catch. Local objects constructed before the exception are destroyed before entering the corresponding catch.
Chapter_18:  terminate 	Library function that is called if an exception is not caught or if an exception occurs while a handler is in process. terminate ends the program.
Chapter_18:  throw e 	Expression that interrupts the current execution path. Each throw transfers control to the nearest enclosing catch clause that can handle the type of exception that is thrown. The expression e is copied into the exception object.
Chapter_18:  try block 	Block of statements enclosed by the keyword try and one or more catch clauses. If the code inside the try block raises an exception and one of the catch clauses matches the type of the exception, then the exception is handled by that catch. Otherwise, the exception is passed out of the try to a catch further up the call chain.
Chapter_18:  unnamed namespace 	Namespace that is defined without a name. Names defined in an unnamed namespace may be accessed directly without use of the scope operator. Each file has its own unique unnamed namespace. Names in an unnamed namespace are not visible outside that file.
Chapter_18:  using declaration 	Mechanism to inject a single name from a namespace into the current scope: using std::cout; makes the name cout from the namespace std available in the current scope. The name cout can subseuquently be used without the std:: qualifier.
Chapter_18:  using directive 	Declaration of the form using NS; makes all the names in the namespace named NS available in the nearest scope containing both the using directive and the namespace itself.
Chapter_18:  virtual base class 	Base class that specifies virtual in its own derivation list. A virtual base part occurs only once in a derived object even if the same class appears as a virtual base more than once in the hierarchy. In nonvirtual inheritance a constructor may initialize only its direct base class(es). When a class is inherited virtually, that class is initialized by the most derived class, which therefore should include an initializer for all of its virtual parent(s).
Chapter_18:  virtual inheritance 	Form of multiple inheritance in which derived classes share a single copy of a base that is included in the hierarchy more than once.
Chapter_19:  :: operator 	Scope operator. Used to access names from a namespace or a class. anonymous union Unnamed union that is not used to define an object. Members of an anonymous union become members of the surrounding scope. These unions may not have member functions and may not have private or protected members.
Chapter_19:  bit-field 	Class member with a integral type that specifies the number of bits to allocate to the member. Bit-fields defined in consecutive order in the class are, if possible, compacted into a common integral value.
Chapter_19:  discriminant 	Programming technique that uses an object to determine which actual type is held in a union at any given time.
Chapter_19:  dynamic_cast 	Operator that performs a checked cast from a base type to a derived type. When the base type has at least one virtual function, the operator checks the dynamic type of the object to which the reference or pointer is bound. If the object type is the same as the type of the cast (or a type derived from that type), then the cast is done. Otherwise, a zero pointer is returned for a pointer cast, or an exception is thrown for a cast to a reference type.
Chapter_19:  enumeration 	Type that groups a set of named integral constants.
Chapter_19:  enumerator 	Member of an enumeration. Enumerators are const and may be used where integral constant expressions are required.
Chapter_19:  free 	Low-level memory deallocation function defined in cstdlib. free may be used only to free memory allocated by malloc.
Chapter_19:  linkage directive 	Mechanism used to allow functions written in a different language to be called from a C++ program. All compilers must support calling C and C++ functions. It is compiler dependent whether any other languages are supported.
Chapter_19:  local class 	Class defined inside a function. A local class is visible only inside the function in which it is defined. All members of the class must be defined inside the class body. There can be no static members of a local class. Local class members may not access the nonstatic variables defined in the enclosing function. They may use type names, static variables, or enumerators defined in the enclosing function.
Chapter_19:  malloc 	Low-level memory allocation function defined in cstdlib. Memory allocated by malloc must be freed by free.
Chapter_19:  mem_fn 	Library class template that generates a callable object from a given pointer to member function.
Chapter_19:  nested class 	Class defined inside another class. A nested class is defined inside its enclosing scope: Nested-class names must be unique within the class scope in which they are defined but can be reused in scopes outside the enclosing class. Access to the nested class outside the enclosing class requires use of the scope operator to specify the scope(s) in which the class is nested.
Chapter_19:  nested type 	Synonym for nested class.
Chapter_19:  nonportable 	Features that are inherently machine specific and may require change when a program is ported to another machine or compiler.
Chapter_19:  operator delete 	Library function that frees untyped, unconstructed memory allocated by operator new. The library operator delete[] frees memory used to hold an array that was allocated by operator new[].
Chapter_19:  operator new 	Library function that allocates untyped, unconstructed memory of a given size. The library function operator new[] allocates raw memory for arrays. These library functions provide a more primitive allocation mechanism than the library allocator class. Modern C++ programs should use the allocator classes rather than these library functions.
Chapter_19:  placement new expression 	Form of new that constructs its object in specified memory. It does no allocation; instead, it takes an argument that specifies where the object should be constructed. It is a lower-level analog of the behavior provided by the construct member of the allocator class.
Chapter_19:  pointer to member 	Pointer that encapsulates the class type as well as the member type to which the pointer points. The definition of a pointer to member must specify the class name as well as the type of the member(s) to which the pointer may point: T C::*pmem = &C::member; This statement defines pmem as a pointer that can point to members of the class named C that have type T and initializes pmem to point to the member in C named member. To use the pointer, we must supply an object or pointer to type C: classobj.*pmem; classptr->*pmem; fetches member from the object classobj of the object pointed to by classptr.
Chapter_19:  run-time type identification 	Language and library facilities that allow the dynamic type of a reference or pointer to be obtained at run time. The RTTI operators, typeid and dynamic_cast, provide the dynamic type only for references or pointers to class types with virtual functions. When applied to other types, the type returned is the static type of the reference or pointer.
Chapter_19:  scoped enumeration 	New-style enumeration in which the enumerator are not accessible directly in the surrounding scope.
Chapter_19:  typeid operator 	Unary operator that returns a reference to an object of the library type named type_info that describes the type of the given expression. When the expression is an object of a type that has virtual functions, then the dynamic type of the expression is returned; such expressions are evaluated at run time. If the type is a reference, pointer, or other type that does not define virtual functions, then the type returned is the static type of the reference, pointer, or object; such expressions are not evaluated.
Chapter_19:  type_info 	Library type returned by the typeid operator. The type_info class is inherently machine dependent, but must provide a small set of operations, including a name function that returns a character string representing the type’s name. type_info objects may not be copied, moved, or assigned.
Chapter_19:  union 	Classlike aggregate type that may define multiple data members, only one of which can have a value at any one point. Unions may have member functions, including constructors and destructors. A union may not serve as a base class. Under the new standard, unions can have members that are class types that define their own copy-control members. Such unions obtain deleted copy control if they do not themselves define the corresponding copy-control functions.
Chapter_19:  unscoped enumeration 	Enumeration in which the enumerators are accessible in the surrounding scope.
